userName,komentar
popo 77,"Maxim penipu, tarif yg di aplikasi tiba-tiba berubah naik 10rb saat sampai tujuan, kesian si abg ojol nya terpaksa nombokin"
Fara Wea,Rute perjalanan yg dipilih terlalu jauh. Sering terlambat kerja.
Puguh Wiseno,trims pak
Rossy Dewi,mungkin nextnya untuk aplikasinya diberi kan reward bintang atau apa untuk penilaian para driver. terutama para driver mobil. agar customer bisa menilai pelayanannya. agar tidak semena mena memperlakukan costumer....
Ismayanti Rahmatia,"Maaf sy kasih bintang dua, sering sekali sy dapat driver yang tidak pake jaketnya seperti tidak siap untuk mengojek, krna dekat tidak bawa helm diaji yg pake helm, terus drivernya ada yang bawah motor sambil balas chatnya ceweknya ,maksudku saya sabar""mi dulu kalau mau pacaran soalnya kt lg bawa motor harusnya utamakan keselamatan penumpangta, kalau sendirita ji urusanta biar mau sambil salto"
Astuti Siahaan,Ok
Devi Mafiza,"Maxim gak enaknya gak bisa langsung dimasukin pake share lokasi, gak kayak aplikasi sebelah, diupdate lagi dong, biar enak pake maxim."
Denis Putra Irawan,"Woi saldo scam, sponsor ke sekolah gua gaguna kalo saldo cmn boongan. Kalo Ada sponsor disekolah lo, jgn download. SCAM COY GABISA DIPAKE. maxim miskin bat develop lo."
Janasiah Jen,pengemudinya ramah baik hati
Achun Astroboy,"Maxim ngaco skrg , aneh Jalan banyak yg dekat kenapa harus di putar putar gk seperti biasanya , tarif pun harus berkali kali lipat , Tolong di perbaiki lagi sebelum saya pindah ke InDriver , skrg mlh lebih bagus indriver dari pada yg ini. Aplikasi yg biasa saya pakai hari ini saya kecewa karena dh berhari hari error rute nya."
AM Production,Tes dulu
Tri Wahyu Adyantoro,Sampat kapan Penumpang harus bayar Cash?
Afriska Riska,pengemudi nya ramah baik dan sopan...penjemputan nya cepat...
műķţãřüďîñ 946,luar biasa supir nya ramah kali hahaha
Muhamad Syafiq Rabbani,Ga ush ngebut ya bg ganteng Kode promo gw ilang 🐶🐶
Yudian Thara,Cuma di Malaysia Maxim itu bagus
Satria Eka,jelek
Kanzu Arsyi,Mantap
John Peter Ngo,"Aplikasi maps menyesatkan driver, akhirnya penumpang terlambat sampai tujuan. G*blok."
Febri Moningka,Maumere respon lambat
Salfa Salfazirel,kacak banget i love u
A M I,Good
Sureni Suryo,sippp
Reza Putra07,sangat bagus
Fritson Numberi,👍
Heni,Berapa harga sukalaya tamansari
Irwan Syeh,mantap jiwa drivernya ramah baik☺️
Nadira Siboto,baik
Keyza Sasa,driver ramah
Andre Jhonatan,terimah kasih banyam mas..
Nur Fai,mantap
Odhy 3012,Manteb pembayaran tidak terlalu mahal.murah untuk berpergian
ilham kapsul,Bagus layanan super cepat driver terdekat yang muncul langsung tidak perlu memilih driver yg penting gas aja nyaman sampai tujuan
rizkypratama putra,mantap
Ullank Chalomank,Mau pesan makanan TDK jelas
Kresna Aditya G,Kode promo MONAS5 sangat hebat
kim Lestari,maps nya tolong diperbaiki kasian driver dan customer
Dara Firdanianty,"Pesan delivery, barang saya di bawa kabur Udh lapor ga ada tindak lanjut Knpaaa yaa ini driver nyaa Ga banget"
Abil fada egi Prasetya,"Hallo official maxim...!!setelah sekian lama menunggu kenapa sampai saat ini tidak ada pembayaran ewallet? Pembayaran ewallet sangat penting mengingat perkenbangan jaman,biar maxim bisa sejajar dengan aplikasi grab/gojek, Bila segera membuat ewallet maka bersiaplah untuk bangkrut,karena kompetitor semakin gencar mengepakan sayap perusahaan nya dengan mengadalkan ewallet mereka,..! terus terusan memaksakan tunai berarti maxim sedang menuju jalan kebangkrutan..."
Ninn 27,Penemuan lokasi nya payah gak lengkap
Maulana insanul Muslimin,terimakasih bang sudah sudah mengantar saya tempat tujuan saya kasih bintang 5
Wirasman Mend,pelayanan baik
cici linda rici,"abg nya satu kampung,, baek,, mau nungguin kami beli martabak,, makasih ya bg Sa kampuang, hehe"
Yusuf Inawan Alhaq,Sulit cari driver 🥲
Dicky Bachtiar,Mantul.....
fika mayrlina,"Tolong dong aplikasi dibenahi lagi untuk masalah pemilihan driver. Ada driver yg dekat kenapa sampai dipilihin driver yg jauh 2. Dgn ini jd driver dan konsumen dirugikan. Waktu tunggu lebih lama (bagi konsumen). Harga kirim murah, pengiriman dekat tp driver yg pick up lokasi jauh dari titik pick up bikin driver boros BBM (bagi driver). Belum lagi masalah maps yg susah sekali untuk digunakan. Tidak semua titik yg terdaftar di google maps masuk terdaftar di maxim."
Mas Gio,Keren
Rizki agus Pratomo,sangat membantu..
Sakarizki _B,Min tolong dong login nya susah bener karna cuman pake nomor doang!!!
Jack Kalau 001,Aplikasi pekerjaan paling tren di daerah saya NTT
Arif Efendi Ritonga,terima kasih
Dimas Murjito,Gak ada tangapan masalah map
Edwin Bhakti,sangat baik sekali
muhammad fathur,Ojol bersatu menjadi preman
